section,metric,value
totals,total_rows,103
totals,valid_rows,85
totals,invalid_rows,18
totals,error_count,18
kpis,avg_resolution_hours,33.54
kpis,avg_resolution_hours_by_category.queja,31.38
kpis,avg_resolution_hours_by_category.solicitud,36.23
kpis,avg_resolution_hours_by_category.fallo_operativo,32.29
kpis,avg_satisfaction_closed,3.5
breakdown.by_category,queja,18
breakdown.by_category,solicitud,34
breakdown.by_category,fallo_operativo,33
breakdown.by_status,cerrado,18
breakdown.by_status,abierto,17
breakdown.by_status,en_proceso,16
breakdown.by_status,resuelto,17
breakdown.by_status,descartado,17
breakdown.by_country,ES,51
breakdown.by_country,US,34
breakdown.by_priority,media,26
breakdown.by_priority,baja,17
breakdown.by_priority,alta,17
breakdown.by_priority,critica,25
breakdown.by_channel,email,17
breakdown.by_channel,web,18
breakdown.by_channel,telefono,25
breakdown.by_channel,chat,25
breakdown.invalid_by_rule,invalid_email,4
breakdown.invalid_by_rule,invalid_country,2
breakdown.invalid_by_rule,invalid_status,2
breakdown.invalid_by_rule,invalid_category,2
breakdown.invalid_by_rule,negative_resolution_hours,2
breakdown.invalid_by_rule,invalid_phone,2
breakdown.invalid_by_rule,required,2
breakdown.invalid_by_rule,satisfaction_score_out_of_range,2
